"page_id","wikitext_length_bytes","template_count","image_count","reference_count","heading_count","internal_link_count","external_link_count","category_count","table_tag_count","paragraph_tag_count","rendered_html_length_bytes","render_expansion_ratio","html_tag_count","avg_response_time","is_slow"
1150728,377,1,2,0,0,5,0,1,0,3,478,1.2679045092838197,18,3.2266666666666666,0
1150733,222,1,0,0,0,6,0,2,0,3,371,1.6711711711711712,20,3.3266666666666667,0
1150768,315,2,1,0,0,7,0,1,0,4,460,1.4603174603174602,24,3.013333333333333,0
1150770,291,3,0,0,0,6,0,1,0,4,438,1.5051546391752577,24,3.3133333333333335,0
1150839,5517,19,1,12,4,32,9,7,0,8,4348,0.7881094797897408,158,7.9799999999999995,0
1150892,14239,26,0,49,8,70,32,16,0,19,9659,0.678348198609453,388,14.68,0
1150902,1803,7,0,2,1,11,2,3,0,4,1008,0.5590682196339434,52,5.183333333333334,0
1150910,2875,9,0,2,1,30,2,6,0,6,1931,0.6716521739130434,94,16.42,0
1150920,36094,22,72,8,9,365,2,2,6,13,33516,0.9285753864908295,3476,178.37666666666667,0
1150935,2126,7,0,2,1,13,2,7,0,4,1435,0.6749764816556915,56,21.126666666666665,0
1150950,3737,14,0,4,2,24,16,7,0,5,3098,0.829007225046829,124,6.37,0
1150969,111615,421,4,6,34,215,321,2,0,117,37940,0.33991846973973033,2466,403.8666666666667,1
1150973,388,1,0,0,0,7,0,1,0,5,620,1.597938144329897,30,3.7033333333333336,0
1150992,3006,12,0,4,3,16,4,2,1,5,1797,0.5978043912175649,110,20.09,0
1151046,35913,22,0,96,19,42,99,16,0,19,27434,0.7639016512126529,664,31.713333333333335,0
1151052,665,3,0,2,1,3,4,1,0,4,684,1.0285714285714285,32,3.7066666666666666,0
1151056,2647,10,0,2,2,21,3,5,0,5,1992,0.752550056667926,88,5.286666666666667,0
1151057,1908,7,0,4,1,7,6,1,0,5,1199,0.6284067085953878,54,4.923333333333334,0
1151063,34635,262,56,15,2,268,19,1,1,6,31576,0.9116789374909773,2998,160.75,0
1151089,2097,7,0,1,1,22,3,5,0,6,1763,0.8407248450166905,72,5.796666666666667,0
1151090,15787,96,0,1,3,196,1,1,1,8,17527,1.1102172673718882,1820,125.35666666666667,0
1151096,3801,22,1,2,1,19,4,2,0,3,2013,0.5295974743488555,122,8.39,0
1151100,1475,1,0,0,0,1,0,1,0,5,1575,1.0677966101694916,12,3.3533333333333335,0
1151117,18986,51,0,2,10,168,6,7,5,18,14471,0.762193194985779,1276,122.96666666666667,0
1151154,2765,9,0,3,1,27,5,4,0,4,1925,0.6962025316455697,96,7.49,0
1151174,6898,4,4,5,2,30,3,2,0,8,3756,0.5445056538126993,98,20.076666666666668,0
1151257,359,1,0,0,0,4,0,1,0,2,440,1.2256267409470751,16,3.6133333333333333,0
1151293,5810,4,1,1,6,30,3,4,0,14,3268,0.5624784853700516,106,6.8133333333333335,0
1151452,4686,29,0,10,2,21,9,4,0,8,3314,0.7072129748186087,150,7.776666666666666,0
1151460,9954,38,0,20,5,35,20,4,1,12,6507,0.6537070524412296,330,21.023333333333333,0
1151473,8598,24,1,0,4,18,28,1,0,8,5206,0.6054896487555246,212,22.150000000000002,0
1151585,3450,8,0,2,2,32,2,7,0,7,3034,0.8794202898550725,110,6.253333333333334,0
1151607,2949,19,2,0,2,39,0,2,0,7,2193,0.7436419125127162,136,7.543333333333333,0
1151610,3582,14,0,4,3,20,4,1,0,4,1953,0.5452261306532663,114,323.7633333333334,1
1151618,3647,10,0,9,1,21,5,5,0,11,2889,0.7921579380312586,100,14.44,0
1151630,2300,6,0,2,1,34,2,5,0,5,2115,0.9195652173913044,100,10.493333333333334,0
1151651,3205,8,0,10,2,15,10,4,0,6,2819,0.8795631825273011,98,10.29,0
1151695,2281,1,0,0,1,73,0,6,0,6,4493,1.9697501096010521,298,11.256666666666666,0
1151700,3211,4,0,2,5,12,4,6,0,10,2380,0.7412021177203364,64,6.04,0
1151706,15421,25,5,20,7,172,28,2,2,19,12778,0.8286103365540497,1012,56.45333333333333,0
1151711,718,2,1,1,1,8,0,1,0,6,859,1.1963788300835654,30,4.46,0
1151722,389,0,1,0,0,6,0,2,0,2,529,1.3598971722365039,18,13.923333333333334,0
1151728,3712,7,0,11,6,18,3,2,0,10,3049,0.8213900862068966,114,7.6,0
1151730,7194,17,0,16,2,10,16,1,0,12,4052,0.5632471504031137,130,11.16,0
1151797,26181,66,2,64,14,171,62,8,1,22,15113,0.5772506779725756,880,64.56,0
1151828,11121,3,0,8,25,39,2,5,20,10,13872,1.247369840841651,1692,95.29666666666667,0
1151836,2714,11,1,8,1,9,11,4,0,5,2200,0.810611643330877,84,6.016666666666667,0
1151850,1971,6,0,1,1,22,3,3,0,4,1532,0.7772704211060375,70,16.61,0
1151886,2785,12,0,2,4,19,4,2,0,6,2108,0.7569120287253142,94,5.776666666666667,0
1151957,67406,257,10,90,22,166,34,1,2,78,17082,0.2534195768922648,1452,106.92,0
1152034,3034,11,0,2,3,13,2,1,0,7,2186,0.7205009887936717,66,19.696666666666665,0
1152035,42246,18,0,13,6,18,18,1,0,11,5508,0.1303792074989348,162,8.83,0
1152063,624,1,0,0,0,2,0,2,0,3,700,1.1217948717948718,10,3.4266666666666667,0
1152064,16601,37,1,33,5,17,37,3,0,22,8124,0.4893681103547979,262,22.363333333333333,0
1152148,14293,29,0,33,4,39,29,5,0,16,6524,0.45644721192191984,272,13.826666666666666,0
1152162,22409,74,0,27,11,109,18,3,1,24,10498,0.4684724887322058,704,53.626666666666665,0
1152177,1308,9,0,0,1,7,0,1,0,5,687,0.5252293577981652,40,4.873333333333333,0
1152254,1682,14,0,2,2,8,3,3,0,6,1048,0.6230677764565993,66,5.466666666666667,0
1152267,1905,6,0,4,5,11,4,2,0,7,1882,0.9879265091863517,70,5.943333333333333,0
1152275,1137,2,1,0,0,9,0,2,0,5,1306,1.148636763412489,28,3.81,0
1152357,2649,9,1,1,2,17,2,2,0,9,1510,0.5700264250660627,68,10.440000000000001,0
1152360,2886,6,0,2,1,5,2,1,0,5,4090,1.4171864171864172,38,3.81,0
1152386,110196,352,2,56,23,297,51,1,7,55,57548,0.5222331119096882,6856,732.88,1
1152395,3111,5,0,3,1,16,3,1,0,7,2819,0.9061395049823208,62,6.556666666666667,0
