page_id,run_number,response_time_ms,status_code,success,error
2979,2,22.88,200,1,
2979,3,22.23,200,1,
2984,1,58.63,200,1,
2984,2,17.23,200,1,
2984,3,76.96,200,1,
2985,1,8.71,200,1,
2985,2,8.06,200,1,
2985,3,7.96,200,1,
2986,1,5.03,200,1,
2986,2,4.66,200,1,
2986,3,4.87,200,1,
2990,1,3.92,200,1,
2990,2,3.94,200,1,
2990,3,3.9,200,1,
2991,1,26.26,200,1,
2991,2,39.83,200,1,
2991,3,22.92,200,1,
2998,1,61.37,200,1,
2998,2,16.49,200,1,
2998,3,16.71,200,1,
2999,1,87.86,200,1,
2999,2,24.07,200,1,
2999,3,67.47,200,1,
3008,1,3.92,200,1,
3008,2,3.89,200,1,
3008,3,3.78,200,1,
3009,1,20.44,200,1,
3009,2,58.43,200,1,
3009,3,20.72,200,1,
3013,1,75.14,200,1,
3013,2,15.8,200,1,
3013,3,15.62,200,1,
3015,1,23.37,200,1,
3015,2,62.87,200,1,
3015,3,22.7,200,1,
3017,1,59.43,200,1,
3017,2,18.22,200,1,
3017,3,15.67,200,1,
3023,1,179.17,200,1,
3023,2,198.15,200,1,
3023,3,131.74,200,1,
3032,1,61.79,200,1,
3032,2,14.66,200,1,
3032,3,13.84,200,1,
3034,1,9.74,200,1,
3034,2,8.08,200,1,
3034,3,9.54,200,1,
3035,1,69.55,200,1,
3035,2,86.63,200,1,
3035,3,85.22,200,1,
3038,1,40.97,200,1,
3038,2,98.97,200,1,
3038,3,88.39,200,1,
3045,1,105.68,200,1,
3045,2,105.62,200,1,
3045,3,160.01,200,1,
3047,1,27.43,200,1,
3047,2,77.78,200,1,
3047,3,21.43,200,1,
3048,1,22.49,200,1,
3048,2,62.15,200,1,
3048,3,21.0,200,1,
3049,1,70.91,200,1,
3049,2,27.16,200,1,
3049,3,70.43,200,1,
3050,1,13.6,200,1,
3050,2,13.74,200,1,
3050,3,13.33,200,1,
3064,1,74.53,200,1,
3064,2,85.41,200,1,
3064,3,98.37,200,1,
3065,1,32.78,200,1,
3065,2,91.13,200,1,
3065,3,77.62,200,1,
3067,1,17.57,200,1,
3067,2,17.07,200,1,
3067,3,58.51,200,1,
3070,1,30.77,200,1,
3070,2,75.37,200,1,
3070,3,30.56,200,1,
3071,1,69.15,200,1,
3071,2,24.41,200,1,
3071,3,83.83,200,1,
3075,1,489.55,200,1,
3075,2,541.53,200,1,
3075,3,585.56,200,1,
3076,1,70.74,200,1,
3076,2,26.37,200,1,
3076,3,24.54,200,1,
3077,1,361.62,200,1,
3077,2,312.61,200,1,
3077,3,395.95,200,1,
3079,1,83.95,200,1,
3079,2,23.89,200,1,
3079,3,69.04,200,1,
3082,1,23.79,200,1,
3082,2,22.81,200,1,
3082,3,63.63,200,1,
3095,1,19.83,200,1,
3095,2,19.25,200,1,
3095,3,62.06,200,1,
3097,1,93.71,200,1,
3097,2,113.7,200,1,
3097,3,99.62,200,1,
3106,1,427.94,200,1,
3106,2,356.36,200,1,
3106,3,320.13,200,1,
3109,1,14.85,200,1,
3109,2,14.0,200,1,
3109,3,65.17,200,1,
3110,1,24.21,200,1,
3110,2,61.45,200,1,
3110,3,13.35,200,1,
3222,1,35.67,200,1,
3222,2,79.74,200,1,
3222,3,86.44,200,1,
3259,1,87.83,200,1,
3259,2,101.42,200,1,
3259,3,90.63,200,1,
3280,1,13.31,200,1,
3280,2,12.52,200,1,
3280,3,12.14,200,1,
3283,1,14.48,200,1,
3283,2,45.51,200,1,
3283,3,11.66,200,1,
3286,1,8.51,200,1,
3286,2,8.06,200,1,
3286,3,9.0,200,1,
3287,1,4.87,200,1,
3287,2,4.97,200,1,
3287,3,4.33,200,1,
3293,1,3.8,200,1,
3293,2,4.14,200,1,
3293,3,3.97,200,1,
3301,1,4.46,200,1,
3301,2,4.59,200,1,
3301,3,4.7,200,1,
3314,1,4.67,200,1,
3314,2,4.25,200,1,
3314,3,15.85,200,1,
3316,1,3.59,200,1,
3316,2,4.17,200,1,
3316,3,4.22,200,1,
3317,1,12.65,200,1,
3317,2,11.83,200,1,
3317,3,11.87,200,1,
3328,1,48.49,200,1,
3328,2,17.79,200,1,
3328,3,18.22,200,1,
3333,1,4.01,200,1,
3333,2,3.78,200,1,
3333,3,3.96,200,1,
3334,1,55.1,200,1,
3334,2,20.86,200,1,
3334,3,20.01,200,1,
3343,1,4.09,200,1,
3343,2,3.68,200,1,
3343,3,3.78,200,1,
3346,1,54.05,200,1,
3346,2,18.17,200,1,
3346,3,17.85,200,1,
3349,1,11.02,200,1,
3349,2,50.02,200,1,
3349,3,11.66,200,1,
3358,1,5.72,200,1,
3358,2,5.68,200,1,
3358,3,5.51,200,1,
3361,1,66.11,200,1,
3361,2,17.02,200,1,
3361,3,16.78,200,1,
3375,1,3.73,200,1,
3375,2,3.63,200,1,
3375,3,3.94,200,1,
3399,1,6.19,200,1,
3399,2,5.75,200,1,
3399,3,7.03,200,1,
3403,1,40.25,200,1,
3403,2,13.65,200,1,
3403,3,14.28,200,1,
3407,1,86.95,200,1,
3407,2,91.13,200,1,
3407,3,95.34,200,1,
3427,1,231.56,200,1,
3427,2,293.01,200,1,
3427,3,280.97,200,1,
3437,1,18.65,200,1,
3437,2,17.82,200,1,
3437,3,56.49,200,1,
3440,1,17.72,200,1,
3440,2,16.21,200,1,
3440,3,16.2,200,1,
3441,1,45.21,200,1,
3441,2,9.28,200,1,
3441,3,7.93,200,1,
3447,1,31.34,200,1,
3447,2,70.43,200,1,
3447,3,31.65,200,1,
3450,1,54.37,200,1,
3450,2,9.73,200,1,
3450,3,9.75,200,1,
3460,1,79.93,200,1,
3460,2,38.91,200,1,
3460,3,83.18,200,1,
3461,1,90.31,200,1,
3461,2,27.97,200,1,
3461,3,73.36,200,1,
3462,1,14.84,200,1,
3462,2,13.81,200,1,
3462,3,56.1,200,1,
3463,1,42.89,200,1,
3463,2,88.3,200,1,
3463,3,90.9,200,1,
3464,1,22.83,200,1,
3464,2,66.64,200,1,
3464,3,22.73,200,1,
3466,1,61.09,200,1,
3466,2,17.46,200,1,
3466,3,16.53,200,1,
3474,1,78.24,200,1,
3474,2,24.62,200,1,
3474,3,62.66,200,1,
3478,1,13.52,200,1,
3478,2,5.96,200,1,
3478,3,4.89,200,1,
3495,1,29.18,200,1,
3495,2,17.43,200,1,
3495,3,37.89,200,1,
3496,1,19.34,200,1,
3496,2,15.88,200,1,
3496,3,57.51,200,1,
3506,1,18.84,200,1,
3506,2,18.33,200,1,
3506,3,61.07,200,1,
3511,1,4.98,200,1,
3511,2,5.07,200,1,
3511,3,4.92,200,1,
3518,1,13.32,200,1,
3518,2,14.31,200,1,
3518,3,13.11,200,1,
3528,1,65.92,200,1,
3528,2,81.52,200,1,
3528,3,33.9,200,1,
3537,1,6.0,200,1,
3537,2,6.02,200,1,
3537,3,6.19,200,1,
3539,1,58.38,200,1,
3539,2,20.14,200,1,
3539,3,65.57,200,1,
3540,1,9.03,200,1,
3540,2,28.82,200,1,
3540,3,6.86,200,1,
3569,1,57.06,200,1,
3569,2,15.78,200,1,
3569,3,16.2,200,1,
3581,1,85.17,200,1,
3581,2,89.27,200,1,
3581,3,93.05,200,1,
3596,1,23.11,200,1,
3596,2,24.57,200,1,
3596,3,63.15,200,1,
3599,1,22.27,200,1,
3599,2,65.11,200,1,
3599,3,21.8,200,1,
3600,1,77.36,200,1,
3600,2,47.51,200,1,
3600,3,74.63,200,1,
3611,1,5.59,200,1,
3611,2,5.73,200,1,
3611,3,5.34,200,1,
3614,1,5.88,200,1,
3614,2,4.92,200,1,
3614,3,5.28,200,1,
3620,1,66.86,200,1,
3620,2,85.4,200,1,
3620,3,23.87,200,1,
3632,1,77.22,200,1,
3632,2,35.67,200,1,
3632,3,94.79,200,1,
3637,1,59.99,200,1,
3637,2,11.55,200,1,
3637,3,21.94,200,1,
3681,1,66.95,200,1,
3681,2,15.96,200,1,
3681,3,14.94,200,1,
3691,1,3.99,200,1,
3691,2,3.58,200,1,
3691,3,3.69,200,1,
3707,1,95.15,200,1,
3707,2,161.35,200,1,
3707,3,37.6,200,1,
3715,1,15.58,200,1,
3715,2,56.9,200,1,
3715,3,20.1,200,1,
3723,1,4.21,200,1,
3723,2,4.29,200,1,
3723,3,5.04,200,1,
3730,1,4.83,200,1,
3730,2,4.48,200,1,
3730,3,4.88,200,1,
3741,1,5.14,200,1,
3741,2,4.17,200,1,
3741,3,4.1,200,1,
3743,1,35.25,200,1,
3743,2,14.78,200,1,
3743,3,14.11,200,1,
3750,1,65.82,200,1,
3750,2,24.1,200,1,
3750,3,23.28,200,1,
3752,1,68.63,200,1,
3752,2,27.84,200,1,
3752,3,82.77,200,1,
3762,1,20.66,200,1,
3762,2,63.87,200,1,
3762,3,21.34,200,1,
3770,1,18.16,200,1,
3770,2,60.88,200,1,
3770,3,21.44,200,1,
3772,1,75.55,200,1,
3772,2,28.69,200,1,
3772,3,71.58,200,1,
3788,1,25.02,200,1,
3788,2,70.04,200,1,
3788,3,28.16,200,1,
3796,1,270.82,200,1,
3796,2,212.37,200,1,
3796,3,315.12,200,1,
3809,1,17.23,200,1,
3809,2,56.11,200,1,
3809,3,13.02,200,1,
3817,1,4.44,200,1,
3817,2,5.04,200,1,
3817,3,4.62,200,1,
3828,1,22.21,200,1,
3828,2,47.59,200,1,
3828,3,14.08,200,1,
3838,1,23.93,200,1,
3838,2,63.47,200,1,
3838,3,20.61,200,1,
3854,1,24.7,200,1,
3854,2,68.22,200,1,
3854,3,26.01,200,1,
3857,1,3.67,200,1,
3857,2,3.5,200,1,
3857,3,3.56,200,1,
3858,1,40.35,200,1,
3858,2,4.28,200,1,
3858,3,4.51,200,1,
3880,1,37.5,200,1,
3880,2,59.77,200,1,
3880,3,19.61,200,1,
3888,1,3.92,200,1,
3888,2,3.76,200,1,
3888,3,3.99,200,1,
3890,1,3.87,200,1,
3890,2,4.32,200,1,
3890,3,4.03,200,1,
3900,1,3.9,200,1,
3900,2,4.02,200,1,
3900,3,3.76,200,1,
3904,1,4.14,200,1,
3904,2,3.99,200,1,
3904,3,4.74,200,1,
3905,1,4.57,200,1,
