page_id,run_number,response_time_ms,status_code,success,error
8691,1,6.11,200,1,
8691,2,6.2,200,1,
8691,3,5.89,200,1,
8712,1,86.0,200,1,
8712,2,92.64,200,1,
8712,3,125.31,200,1,
8714,1,209.9,200,1,
8714,2,300.15,200,1,
8714,3,298.85,200,1,
8717,1,173.4,200,1,
8717,2,112.05,200,1,
8717,3,107.5,200,1,
8719,1,170.24,200,1,
8719,2,100.77,200,1,
8719,3,123.04,200,1,
8720,1,180.84,200,1,
8720,2,125.98,200,1,
8720,3,99.13,200,1,
8723,1,103.72,200,1,
8723,2,169.31,200,1,
8723,3,131.51,200,1,
8725,1,99.44,200,1,
8725,2,97.79,200,1,
8725,3,95.36,200,1,
8726,1,109.36,200,1,
8726,2,91.55,200,1,
8726,3,94.46,200,1,
8727,1,95.68,200,1,
8727,2,112.33,200,1,
8727,3,91.59,200,1,
8728,1,101.49,200,1,
8728,2,98.66,200,1,
8728,3,116.26,200,1,
8730,1,98.28,200,1,
8730,2,95.1,200,1,
8730,3,95.89,200,1,
8731,1,173.66,200,1,
8731,2,102.85,200,1,
8731,3,101.1,200,1,
8733,1,44.14,200,1,
8733,2,171.29,200,1,
8733,3,109.16,200,1,
8734,1,175.61,200,1,
8734,2,106.63,200,1,
8734,3,118.31,200,1,
8735,1,95.14,200,1,
8735,2,95.11,200,1,
8735,3,96.42,200,1,
8736,1,107.89,200,1,
8736,2,93.56,200,1,
8736,3,94.23,200,1,
8740,1,123.2,200,1,
8740,2,193.27,200,1,
8740,3,169.43,200,1,
8744,1,45.18,200,1,
8744,2,86.96,200,1,
8744,3,164.81,200,1,
8758,1,45.97,200,1,
8758,2,89.51,200,1,
8758,3,89.77,200,1,
8759,1,113.72,200,1,
8759,2,91.83,200,1,
8759,3,112.14,200,1,
8764,1,195.6,200,1,
8764,2,174.1,200,1,
8764,3,119.23,200,1,
8765,1,174.77,200,1,
8765,2,109.04,200,1,
8765,3,114.66,200,1,
8915,1,97.12,200,1,
8915,2,101.11,200,1,
8915,3,109.85,200,1,
8917,1,8.65,200,1,
8917,2,8.29,200,1,
8917,3,45.98,200,1,
8918,1,112.83,200,1,
8918,2,91.65,200,1,
8918,3,98.41,200,1,
8921,1,107.34,200,1,
8921,2,113.58,200,1,
8921,3,93.67,200,1,
9036,1,99.34,200,1,
9036,2,110.88,200,1,
9036,3,111.7,200,1,
9041,1,96.33,200,1,
9041,2,90.89,200,1,
9041,3,95.88,200,1,
9068,1,5.81,200,1,
9068,2,7.92,200,1,
9068,3,5.38,200,1,
9095,1,104.26,200,1,
9095,2,93.97,200,1,
9095,3,97.0,200,1,
9104,1,179.31,200,1,
9104,2,91.81,200,1,
9104,3,98.81,200,1,
9149,1,95.02,200,1,
9149,2,108.99,200,1,
9149,3,94.28,200,1,
9192,1,4.55,200,1,
9192,2,4.23,200,1,
9192,3,4.09,200,1,
9258,1,95.28,200,1,
9258,2,102.3,200,1,
9258,3,111.44,200,1,
9261,1,96.27,200,1,
9261,2,96.02,200,1,
9261,3,93.8,200,1,
9267,1,111.81,200,1,
9267,2,105.95,200,1,
9267,3,172.87,200,1,
9273,1,116.91,200,1,
9273,2,193.25,200,1,
9273,3,112.48,200,1,
9317,1,10.81,200,1,
9317,2,13.59,200,1,
9317,3,50.23,200,1,
9364,1,8.32,200,1,
9364,2,8.6,200,1,
9364,3,7.96,200,1,
9386,1,12.08,200,1,
9386,2,11.34,200,1,
9386,3,48.99,200,1,
9407,1,315.41,200,1,
9407,2,299.85,200,1,
9407,3,316.92,200,1,
9470,1,195.52,200,1,
9470,2,179.94,200,1,
9470,3,112.66,200,1,
9518,1,125.05,200,1,
9518,2,151.58,200,1,
9518,3,51.91,200,1,
9519,1,152.85,200,1,
9519,2,123.23,200,1,
9519,3,93.33,200,1,
9529,1,97.94,200,1,
9529,2,100.7,200,1,
9529,3,127.79,200,1,
9530,1,173.79,200,1,
9530,2,108.76,200,1,
9530,3,113.38,200,1,
9532,1,96.62,200,1,
9532,2,106.48,200,1,
9532,3,183.14,200,1,
9589,1,171.38,200,1,
9589,2,145.91,200,1,
9589,3,168.08,200,1,
9596,1,113.22,200,1,
9596,2,180.5,200,1,
9596,3,122.85,200,1,
9625,1,11.1,200,1,
9625,2,75.09,200,1,
9625,3,16.28,200,1,
9659,1,108.36,200,1,
9659,2,169.95,200,1,
9659,3,136.01,200,1,
9661,1,285.59,200,1,
9661,2,167.29,200,1,
9661,3,51.0,200,1,
9662,1,170.48,200,1,
9662,2,203.72,200,1,
9662,3,102.39,200,1,
9669,1,173.88,200,1,
9669,2,94.67,200,1,
9669,3,134.88,200,1,
9670,1,104.28,200,1,
9670,2,110.03,200,1,
9670,3,256.62,200,1,
9724,1,100.9,200,1,
9724,2,47.46,200,1,
9724,3,90.22,200,1,
9725,1,183.73,200,1,
9725,2,94.56,200,1,
9725,3,93.04,200,1,
9726,1,99.53,200,1,
9726,2,185.12,200,1,
9726,3,130.76,200,1,
9727,1,171.29,200,1,
